area,rooms_num,market,advertiser_type,lift,price,building_ownership,construction_status,floor,outdoor,car,heating,build_year,building_type,windows_type,media_types,security_types,extras_types,building_material,equipment_types,street,neighbourhood
65,3,locuință nouă,agenție,False,145000,,necesita renovare,4/4,"('balcon',)",,centralizată,1981,,,,,,,,,Intre Lacuri
70,3,locuință nouă,agenție,False,125900,,,1/3,"('balcon',)",,,2023,,,,,,,,,Iris
69,3,locuință nouă,agenție,False,104900,,,3/3,"('balcon',)",,centralizată,2023,,,,,,,,,
120,4,locuință nouă,agenție,False,299000,,,2/x,,,,0,,,,,,,,Calea Turzii,Buna Ziua
48,2,locuință nouă,agenție,False,73500,,,3/3,"('balcon',)",,centralizată,2023,,,,,,,,,
53,2,locuință nouă,agenție,False,94900,,,2/3,"('balcon',)",,,2023,,,,,,,,,Iris
71,3,locuință nouă,agenție,True,185500,,,2/5,"('balcon',)",,centralizată,2022,,,,,"('aer condiționat',)",,,,Dambul Rotund
87,3,locuință utilizată,agenție,False,230000,,,1/4,"('balcon',)",,,1990,,,,,,,,,Centru
70,3,locuință utilizată,agenție,False,155000,,,4/4,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
65,3,locuință utilizată,agenție,False,140000,,,0/4,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
50,3,locuință utilizată,agenție,False,239000,,gata de utilizare,2/4,"('balcon',)",,centralizată,1980,,,,,,,,,Gruia
30,2,locuință utilizată,agenție,False,90000,,,3/x,,,,0,,,,,,,,Strada Zambilei,Gheorgheni
74,3,locuință utilizată,agenție,False,168000,,,0/x,,,centralizată,1980,,,,,,,,,Intre Lacuri
55,3,locuință utilizată,agenție,True,163000,,,3/x,"('balcon',)",,centralizată,2000,,,,,,,,,Buna Ziua
73,3,locuință utilizată,agenție,False,224000,,,1/2,"('balcon',)",,centralizată,2000,,,,,,,,,Buna Ziua
67,3,locuință utilizată,agenție,False,180000,,,1/8,,,centralizată,1980,,,,,,,,,Manastur
70,3,locuință utilizată,agenție,False,199000,,,1/6,,,centralizată,2022,,,,,,,,,Marasti
55,2,locuință nouă,agenție,True,130000,,gata de utilizare,2/3,"('balcon',)",,centralizată,2016,,,,,,,,,
53,3,locuință utilizată,agenție,False,145000,,,0/4,,,centralizată,1980,,,,,,,,,Manastur
40,2,locuință nouă,agenție,True,129000,,gata de utilizare,5/8,"('balcon',)",,centralizată,2020,,,,,,,,,Bulgaria
67,3,locuință nouă,agenție,False,135000,,gata de utilizare,8/10,"('balcon',)",,centralizată,1976,,,,,,,,,Manastur
70,3,locuință utilizată,agenție,False,175000,,,1/4,"('balcon',)",,centralizată,2008,,,,,"('aer condiționat',)",,,,Manastur
73,3,locuință utilizată,agenție,False,199999,,,,"('balcon', 'grădină')",garaj,,0,,,"('internet',)","('alarmă', 'ușă metalică', 'interfon')",,,,Strada Costache Negri,Buna Ziua
45,2,locuință nouă,privat,True,115000,drept de proprietate,gata de utilizare,5/6,"('balcon',)",,centrală pe gaz,2023,bloc,aluminiu,"('cablu tv', 'internet')","('ușă metalică', 'curte', 'interfon')",,beton,"('frigider', 'mobilier', 'cuptor', 'TV', 'mașină de spălat')",,Dambul Rotund
71,3,locuință utilizată,agenție,True,188500,drept de proprietate,gata de utilizare,1/6,"('balcon', 'terasă')",,centralizată,0,bloc,plastic,"('cablu tv', 'internet', 'telefon')","('ușă metalică', 'interfon')",,cărămidă,"('frigider', 'mobilier', 'cuptor', 'plită', 'mașină de spălat')",Strada Aurel Vlaicu,Marasti
24,1,locuință utilizată,agenție,False,56100,,,0/x,,,,0,,,,,,,,,Buna Ziua
61,2,locuință utilizată,agenție,True,160000,,gata de utilizare,2/6,"('balcon',)",,centralizată,1988,bloc,aluminiu,"('internet',)","('ușă metalică', 'interfon')","('bucătărie separată',)",cărămidă,"('frigider', 'mobilier', 'cuptor', 'mașină de spălat')",,Marasti
76,4,locuință utilizată,agenție,False,190000,,,3/4,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
70,3,locuință nouă,agenție,False,118200,,,1/4,"('balcon',)",,centralizată,2016,,,,,,,,,
114,3,locuință nouă,agenție,False,288900,,,1/x,,,,0,,,,,,,,Strada Teodor Mihali,Intre Lacuri
27,1,locuință nouă,agenție,False,86000,,gata de utilizare,0/4,,,centralizată,0,,,,,,,,,Manastur
60,3,locuință nouă,agenție,False,133000,,,1/3,"('balcon',)",,,2024,,,,,,,,,Someseni
40,2,locuință nouă,agenție,False,70000,,gata de utilizare,0/4,"('balcon',)",,centralizată,2010,,,,,,,,,
52,2,locuință nouă,agenție,True,230000,,gata de utilizare,1/5,"('balcon',)",,centralizată,2018,,,,,"('aer condiționat',)",,,,Plopilor
69,3,locuință nouă,agenție,False,163900,,,0/x,,,,0,,,,,,,,Strada Oasului,Iris
50,2,locuință utilizată,agenție,False,124990,,,0/x,,,,1997,,,,,,,,,Marasti
40,2,locuință nouă,agenție,True,134000,,gata de utilizare,5/6,,,centralizată,2023,,,,,"('aer condiționat',)",,,,Bulgaria
101,3,locuință utilizată,agenție,False,305000,,,,,,,0,,,,,,,,,Marasti
63,3,locuință nouă,agenție,False,170000,,gata de utilizare,4/4,"('balcon',)",,centralizată,1985,,,,,,,,,Plopilor
25,1,locuință utilizată,agenție,False,61500,,,3/x,,,,1997,,,,,,,,,Marasti
58,2,locuință utilizată,agenție,False,149900,,,4/x,,,,0,,,,,,,,Aleea Slanic,Gheorgheni
28,1,locuință utilizată,agenție,False,77000,drept de proprietate,gata de utilizare,9/10,"('balcon',)",,centralizată,1989,bloc,plastic,,"('ușă metalică',)",,placa de beton,"('frigider', 'mobilier', 'cuptor', 'TV', 'mașină de spălat')",,Manastur
38,1,locuință nouă,agenție,False,106000,,,0/x,,,,0,,,,,,,,,Zorilor
32,1,locuință nouă,agenție,False,78000,,,1/x,,,,0,,,,,,,,Strada Traian Vuia,Someseni
42,2,locuință nouă,agenție,False,77500,,,4/x,,,,0,,,,,,,,,Strada Valea Chintaului
65,3,locuință utilizată,agenție,False,225000,,,2/x,,,,0,,,,,,,,Strada Ariesului,Gheorgheni
11,1,locuință utilizată,agenție,False,35800,,gata de utilizare,3/4,,,centralizată,1989,bloc,plastic,,,,beton,,,Andrei Muresanu
64,3,locuință utilizată,agenție,True,134000,,necesita renovare,,"('balcon',)",,centrală pe gaz,0,bloc,,,"('interfon',)","('bucătărie separată',)",,,,Manastur
50,2,locuință nouă,agenție,False,135000,,gata de utilizare,0/1,"('balcon',)",,centralizată,2010,,,,,,,,,Manastur
53,2,locuință nouă,agenție,True,115000,,gata de utilizare,0/10,"('balcon',)",,centralizată,1985,,,,,,,,,Manastur
48,2,locuință nouă,agenție,False,115000,,,2/4,"('balcon',)",,centralizată,0,,,,,,,,,Marasti
53,2,locuință nouă,agenție,False,165000,,,0/4,,,centralizată,0,,,,,,,,,Gheorgheni
